"scenario","variable","h","n_breaks_trend","first_break_trend_time","biggest_magnitude","biggest_magnitude_time"
"regclim","npp",0.05,1,2009.08333333333,-0.0844483414146389,362
"regclim","npp",0.1,1,2009.08333333333,-0.0844483414146389,362
"regclim","npp",0.15,1,2009.08333333333,-0.0844483414146389,362
"regclim","npp",0.2,1,2009.08333333333,-0.0844483414146389,362
"regclim","ctotal",0.05,6,1992.91666666667,8.4087630204148,168
"regclim","ctotal",0.1,4,1992.91666666667,4.27106814317571,168
"regclim","ctotal",0.15,3,1992.91666666667,3.21279659745969,168
"regclim","ctotal",0.2,3,1992.5,2.54414158104942,163
"regclim","evapm",0.05,2,1983.5,-0.0962164379964019,55
"regclim","evapm",0.1,2,1983.5,-0.0962164379964019,55
"regclim","evapm",0.15,1,1998.33333333333,-0.0554654569120381,233
"regclim","evapm",0.2,1,1998.33333333333,-0.0554654569120381,233
"regclim","wue",0.05,3,1983.5,0.00628012386233151,408
"regclim","wue",0.1,3,1983.5,0.00628012386233151,408
"regclim","wue",0.15,3,1989.5,0.001859756589767,388
"regclim","wue",0.2,3,1989.5,-0.00173194628908829,127
"y1","npp",0.05,10,1982.16666666667,0.513949477440292,121
"y1","npp",0.1,3,1987.16666666667,0.707101205105857,244
"y1","npp",0.15,3,1987.58333333333,0.708042329137484,244
"y1","npp",0.2,3,1987.16666666667,0.710929681409468,244
"y1","ctotal",0.05,6,1989.33333333333,17.5873902767075,245
"y1","ctotal",0.1,4,1989.33333333333,21.0281459787561,245
"y1","ctotal",0.15,3,1988.16666666667,25.5908616409788,247
"y1","ctotal",0.2,2,1990.5,25.9665306766578,247
"y1","evapm",0.05,6,1983.83333333333,-0.119388471867268,237
"y1","evapm",0.1,5,1983.83333333333,-0.432929702393302,232
"y1","evapm",0.15,4,1987.83333333333,-0.420152575264536,232
"y1","evapm",0.2,3,1986.5,-0.367841006638585,232
"y1","wue",0.05,5,1989.83333333333,0.0154885374115157,313
"y1","wue",0.1,3,1996.16666666667,0.0143815179158828,240
"y1","wue",0.15,2,1994.58333333333,0.0146988654683593,238
"y1","wue",0.2,2,1993.16666666667,0.0158601576677404,238
"y7","npp",0.05,5,2003.58333333333,0.819923110827176,388
"y7","npp",0.1,3,2003.33333333333,0.561101493952037,338
"y7","npp",0.15,2,2003.91666666667,-0.41795214055675,368
"y7","npp",0.2,2,1998.91666666667,0.3852604183339,338
"y7","ctotal",0.05,6,1992.91666666667,-12.0492632028354,399
"y7","ctotal",0.1,2,2006,-9.16458897503617,399
"y7","ctotal",0.15,1,2006,4.76061530561228,325
"y7","ctotal",0.2,1,2006,4.76061530561228,325
"y7","evapm",0.05,1,2011.91666666667,-0.218068091295287,396
"y7","evapm",0.1,1,2011.91666666667,-0.218068091295287,396
"y7","evapm",0.15,1,2010.5,-0.107536003373779,379
"y7","evapm",0.2,1,2009.25,-0.0277429300774275,364
"y7","wue",0.05,3,1983.5,0.00534047379460234,408
"y7","wue",0.1,3,1983.5,0.00534047379460234,408
"y7","wue",0.15,3,1989.5,-0.00175050173397859,127
"y7","wue",0.2,3,1989.5,-0.00175050173397612,127
