"scenario","variable","h","n_breaks_trend","first_break_trend_time","biggest_magnitude","biggest_magnitude_time"
"regclim","npp",0.05,1,2009.08333333333,-0.0844483414146389,362
"regclim","npp",0.1,1,2009.08333333333,-0.0844483414146389,362
"regclim","npp",0.15,1,2009.08333333333,-0.0844483414146389,362
"regclim","npp",0.2,1,2009.08333333333,-0.0844483414146389,362
"regclim","npp",0.25,1,1998.41666666667,0.0414184727540938,234
"regclim","ctotal",0.05,6,1992.91666666667,8.4087630204148,168
"regclim","ctotal",0.1,4,1992.91666666667,4.27106814317571,168
"regclim","ctotal",0.15,3,1992.91666666667,3.21279659745969,168
"regclim","ctotal",0.2,3,1992.5,2.54414158104942,163
"regclim","ctotal",0.25,2,1992.91666666667,3.8794728858622,285
"regclim","evapm",0.05,2,1983.5,-0.0962164379964019,55
"regclim","evapm",0.1,2,1983.5,-0.0962164379964019,55
"regclim","evapm",0.15,1,1998.33333333333,-0.0554654569120381,233
"regclim","evapm",0.2,1,1998.33333333333,-0.0554654569120381,233
"regclim","evapm",0.25,1,1998.33333333333,-0.0554654569120381,233
"regclim","wue",0.05,3,1983.5,0.00628012386233151,408
"regclim","wue",0.1,3,1983.5,0.00628012386233151,408
"regclim","wue",0.15,3,1989.5,0.001859756589767,388
"regclim","wue",0.2,3,1989.5,-0.00173194628908829,127
"regclim","wue",0.25,2,1989.5,-0.00207908828715739,310
"y1","npp",0.05,10,1982.16666666667,0.513949477440292,121
"y1","npp",0.1,3,1987.16666666667,0.707101205105857,244
"y1","npp",0.15,3,1987.58333333333,0.708042329137484,244
"y1","npp",0.2,3,1987.16666666667,0.710929681409468,244
"y1","npp",0.25,2,1987.75,0.808617154962093,242
"y1","ctotal",0.05,6,1989.33333333333,17.5873902767075,245
"y1","ctotal",0.1,4,1989.33333333333,21.0281459787561,245
"y1","ctotal",0.15,3,1988.16666666667,25.5908616409788,247
"y1","ctotal",0.2,2,1990.5,25.9665306766578,247
"y1","ctotal",0.25,2,1990.5,25.9665306766578,247
"y1","evapm",0.05,6,1983.83333333333,-0.119388471867268,237
"y1","evapm",0.1,5,1983.83333333333,-0.432929702393302,232
"y1","evapm",0.15,4,1987.83333333333,-0.420152575264536,232
"y1","evapm",0.2,3,1986.5,-0.367841006638585,232
"y1","evapm",0.25,2,1987.83333333333,-0.430601973219254,231
"y1","wue",0.05,5,1989.83333333333,0.0154885374115157,313
"y1","wue",0.1,3,1996.16666666667,0.0143815179158828,240
"y1","wue",0.15,2,1994.58333333333,0.0146988654683593,238
"y1","wue",0.2,2,1993.16666666667,0.0158601576677404,238
"y1","wue",0.25,2,1991.75,0.0165789111693487,238
"y3","npp",0.05,9,1991.08333333333,0.526292076760114,168
"y3","npp",0.1,3,1991.83333333333,0.434405520395728,374
"y3","npp",0.15,3,1991.75,0.424224993712428,374
"y3","npp",0.2,2,1991.83333333333,-0.375721852771759,155
"y3","npp",0.25,2,1991.83333333333,-0.375721852771759,155
"y3","ctotal",0.05,8,1992.91666666667,-11.7406575630757,224
"y3","ctotal",0.1,5,1992.91666666667,9.1867805642014,376
"y3","ctotal",0.15,4,1992.91666666667,6.5297206337375,378
"y3","ctotal",0.2,2,1992.91666666667,5.59923343333047,328
"y3","ctotal",0.25,2,1992.91666666667,5.59923343333047,328
"y3","evapm",0.05,5,1983.83333333333,-0.495449072080643,368
"y3","evapm",0.1,4,1983.83333333333,-0.523566553269458,368
"y3","evapm",0.15,2,1992.08333333333,-0.49787870453531,368
"y3","evapm",0.2,2,1992.08333333333,-0.442706783035312,365
"y3","evapm",0.25,2,1992.08333333333,-0.105811025869507,342
"y3","wue",0.05,3,1983.5,0.012427750987373,408
"y3","wue",0.1,2,2009.16666666667,0.0100158146178799,408
"y3","wue",0.15,1,2009.83333333333,0.00892235266488096,371
"y3","wue",0.2,1,2009.33333333333,0.0062103697663423,365
"y3","wue",0.25,1,2006.83333333333,-0.00148562796988851,335
"y5","npp",0.05,6,1997.33333333333,-0.639570918905292,366
"y5","npp",0.1,4,1997.33333333333,-0.537533156503692,366
"y5","npp",0.15,3,1995.75,-0.495371525041108,298
"y5","npp",0.2,2,1999.25,0.352926618589635,335
"y5","npp",0.25,1,2002.5,-0.488358664906091,283
"y5","ctotal",0.05,6,2003.25,-9.95783123993433,397
"y5","ctotal",0.1,3,2004.66666666667,-10.48670615501,309
"y5","ctotal",0.15,2,2004,-11.2571869920694,371
"y5","ctotal",0.2,2,1999.5,6.03115442692933,338
"y5","ctotal",0.25,2,1997.58333333333,4.89647722318455,338
"y5","evapm",0.05,4,1990.5,-0.154626838519274,298
"y5","evapm",0.1,4,1990.5,-0.154626838519075,298
"y5","evapm",0.15,3,1990.5,-0.157697359166269,366
"y5","evapm",0.2,1,2002.5,-0.114374046041616,283
"y5","evapm",0.25,1,2002.5,-0.114374046041616,283
"y5","wue",0.05,5,1983.5,0.00490071461844332,408
"y5","wue",0.1,3,1983.5,0.00502807233221175,408
"y5","wue",0.15,3,1989.5,0.00181131076278368,388
"y5","wue",0.2,3,1989.5,-0.00165113894738478,127
"y5","wue",0.25,2,1989.5,-0.00198969654231023,329
"y7","npp",0.05,5,2003.58333333333,0.819923110827176,388
"y7","npp",0.1,3,2003.33333333333,0.561101493952037,338
"y7","npp",0.15,2,2003.91666666667,-0.41795214055675,368
"y7","npp",0.2,2,1998.91666666667,0.3852604183339,338
"y7","npp",0.25,2,1997.83333333333,0.297081167042407,341
"y7","ctotal",0.05,6,1992.91666666667,-12.0492632028354,399
"y7","ctotal",0.1,2,2006,-9.16458897503617,399
"y7","ctotal",0.15,1,2006,4.76061530561228,325
"y7","ctotal",0.2,1,2006,4.76061530561228,325
"y7","ctotal",0.25,1,2006,4.76061530561228,325
"y7","evapm",0.05,1,2011.91666666667,-0.218068091295287,396
"y7","evapm",0.1,1,2011.91666666667,-0.218068091295287,396
"y7","evapm",0.15,1,2010.5,-0.107536003373779,379
"y7","evapm",0.2,1,2009.25,-0.0277429300774275,364
"y7","evapm",0.25,1,2007.41666666667,0.0314361499300917,342
"y7","wue",0.05,3,1983.5,0.00534047379460234,408
"y7","wue",0.1,3,1983.5,0.00534047379460234,408
"y7","wue",0.15,3,1989.5,-0.00175050173397859,127
"y7","wue",0.2,3,1989.5,-0.00175050173397612,127
"y7","wue",0.25,2,1989.5,-0.00218563441364047,310
